#,task,estimate,actual time,status,notes
1, Initial project setup, 1h, ~42 minutes, "Completed", Initial skeleton
2, Backend: Auth (JWT), 1h, ~1h 10 minutes, "Completed", APIs for Auth with JWT
3, Backend: APIs for Tasks, 1h, ~50 minutes, "Completed", APIs for Tasks
4, Backend: AI Endpoints, 2h, ~2h 20 minutes, "Completed", APIs for /ai/suggest
5, Frontend: Auth UI + Integration, 2h, ~3h, "Completed", Auth flow with JWT
6, Frontend: Task UI + Integration, 2h, ~1h 30 minutes, "Completed", Task UI + Integration
7, Frontend: Integrate /ai/suggest, 1h, ~ 30 minutes, "Completed", Integrate /ai/suggest
8, UI/UX Improvements, 3h, ~ 3 hours, "Completed", UI/UX Improvements
9, Seed data script, 1h, ~ 30 minutes, "Completed", Script for seeding data
10, Deployment on DigitalOcean, 2h, -, "Pending", Dockerize the project and deploy on DigitalOcean